"county_name","state_name","population_size","percent_1to9","percent_10to14","percent_15to19","percent_20to34","percent_35to44","percent_45to64","percent_65plus","median_household_income","median_houshold_year_round_incomes","percent_25year_above_high_school","percent_25year_above_professional_diploma","percent_25year_above_bachelors_degree","percent_25year_above_bacholors_above","management_business_science_arts","service_occupations","sales_office_occupation","naturalresources_construction_maintenance","production_transportation_materialmoving","median_age","avg_house_hold_size"
"Duval County"," Florida","950181","13.2","6","5.7","23.2","25.1","12.7","12.6","32633","86051","28.5","19.4","11.1","30.5","37.4","19.1","22","8.8","12.7","36.3","3"
"Highlands County"," Florida","105424","9.5","4.6","5.9","12.9","18.9","13","29","25074","73090","38.3","11","6.2","17.2","27.8","21.5","22.9","16.8","11","53.2","3"
"Leon County"," Florida","292502","10.3","5.3","8.9","30.2","21.1","11.1","12.1","27133","87692","20.3","24.4","19","43.5","43.7","16.9","27.6","4.5","7.3","31.3","3"
"Pinellas County"," Florida","975280","9","4.3","4.5","17","24.4","16","21.2","32736","88430","28.9","20.8","11.2","32","38.6","18.2","26.5","6.8","10","48.5","3"
"Walton County"," Florida","71375","10.4","6.3","5.6","15.7","26.6","15.1","19.6","30405","79363","31.5","23.2","8.1","31.3","36.8","23","24.6","10.6","5","44.4","3"
"Chatham County"," Georgia","289195","12.1","5.7","6.5","24.1","24.1","12.3","13.6","30324","86407","25.7","19.1","13.8","32.9","37.4","19.4","20.6","7.5","15.1","36","3"
"Clayton County"," Georgia","289615","16.5","7","7.4","22.5","26.4","11.1","8.7","28059","71153","32.4","14.4","6.7","21.1","26.8","20.8","22","7.5","22.9","32.4","4"
"Fayette County"," Georgia","113459","9.6","8.6","8.3","13.5","26.8","15.3","16.1","43857","136591","21.3","27","18.6","45.6","50.3","12.2","20.1","6","11.4","43.5","3"
"Paulding County"," Georgia","164044","13.1","8.4","7.5","18.8","30.2","11.7","9.5","40169","96223","31.9","17.6","8.1","25.8","32.6","15.3","25.9","9.5","16.7","35.9","3"
"Spalding County"," Georgia","66100","12.9","6.2","7.3","16.8","26.3","12.4","16.2","29508","71234","39.9","12.1","4.1","16.2","17.9","18","26.5","11.8","25.8","39.8","3"
