"county_name","state_name","population_size","percent_1to9","percent_10to14","percent_15to19","percent_20to34","percent_35to44","percent_45to64","percent_65plus","median_household_income","median_houshold_year_round_incomes","percent_25year_above_high_school","percent_25year_above_professional_diploma","percent_25year_above_bachelors_degree","percent_25year_above_bacholors_above","management_business_science_arts","service_occupations","sales_office_occupation","naturalresources_construction_maintenance","production_transportation_materialmoving","median_age","avg_house_hold_size"
"Monroe County"," Florida","75027","7.9","4.6","4.9","16.1","27.3","16.5","21.5","35313","88950","28.6","19.8","14.1","33.9","33.2","24.4","18.8","16.1","7.6","48.1","3"
"Orange County"," Florida","1380645","12.1","6.4","6.8","24.3","27.3","11.3","10.5","30731","80477","24.5","23.4","12.4","35.7","37.3","19.3","24.9","8.3","10.2","35.3","4"
"Pasco County"," Florida","539630","10.9","5.9","5.8","15.8","25.6","13.5","20.1","33797","88309","33","16.5","8.7","25.2","37.6","17.4","25.7","9.5","9.8","44.5","3"
"Sarasota County"," Florida","426718","7.2","4.3","4.5","12","19.6","15.6","31.5","31551","87633","28.5","20.6","14.5","35.1","34.7","21.5","26.1","7.5","10.3","56.5","3"
"Sumter County"," Florida","128754","3.2","2.8","2.3","7.4","13.3","14.2","53","22221","80291","29.5","16.9","14","30.9","29.3","21.9","25.6","12.6","10.6","67.5","2"
"Catoosa County"," Georgia","67420","9.7","7.3","5.6","19.1","27.3","13.1","16.7","32935","82082","37.1","12.9","7.9","20.8","30.5","22.5","22.6","9.7","14.7","41.4","3"
"Coweta County"," Georgia","145864","11","6.9","9","19.7","26.8","12.3","13.2","36187","95420","26.6","22.8","10.4","33.1","34.5","16.7","22.9","9","16.9","38.3","3"
"Rockdale County"," Georgia","90594","13.3","7","7.5","18.8","25.5","13.7","13","32205","96511","29.2","19.2","9.9","29.1","34.5","18.1","24","6.2","17.2","38.2","3"
"Walton County"," Georgia","93503","13","7.6","7.9","17","26.9","12.6","13.6","35002","89770","36.3","11.5","8.8","20.4","28.3","17.4","23.4","11.5","19.5","38.2","3"
"Honolulu County"," Hawaii","980080","12.1","5.9","5.4","22.2","24.8","11.9","14.6","38829","95963","25.7","23.1","12.1","35.2","35.9","22.2","22.9","9","10","38.1","4"
"Bannock County"," Idaho","87138","13.9","6.9","8","22.9","22.4","11.8","12.3","26714","78139","25.9","18.3","9.6","27.8","38.7","17.3","22.6","7.3","14.1","33.6","3"
"Kootenai County"," Idaho","161505","12.8","6.2","5.7","19","23.9","13.6","17.3","30215","80070","29.1","16.7","9","25.8","32","17","25.1","12.5","13.4","40.6","3"
"LaSalle County"," Illinois","109430","11.5","6","6","18.1","24.8","14.6","16.7","31888","91750","36.1","12.2","5.4","17.5","28.1","20.1","22.1","10","19.8","41.9","3"
"McLean County"," Illinois","172828","12.1","5.6","8.7","25.3","23.5","11.6","11.2","34271","107899","23.6","28","17.6","45.6","43.9","17.1","22.7","6.4","9.9","33.4","3"
"Rock Island County"," Illinois","143477","12.1","6.4","6.8","17.3","24.7","13.8","16.4","31660","90612","28.2","16.2","8.2","24.4","31.5","17.6","21.7","6.3","22.9","40.4","3"
"Boone County"," Indiana","66999","13.5","8.1","7.4","17","27.4","13.4","10.9","42987","117049","20","29.6","16.6","46.2","48.5","15.9","19","5.8","10.8","37.9","3"
"Tippecanoe County"," Indiana","193048","11.1","5.9","10.9","30.7","20.3","9.6","10","24753","86462","24.7","23.1","16.2","39.3","40.5","19.1","16.1","6.3","17.9","28.2","3"
"Wayne County"," Indiana","65936","11.6","6.9","6.2","19.3","23.4","13.7","16.1","30139","75678","36","11.2","7.3","18.5","26.2","19.7","19.1","9.8","25.3","40.3","3"
"Linn County"," Iowa","225909","12.5","6.8","6.7","20.1","25.3","12.5","14","37070","101997","26.6","23.8","9.6","33.5","39.2","15.4","23.4","6.6","15.4","37.8","3"
"Woodbury County"," Iowa","102539","14.2","8","6.8","18.8","24","12.7","13.4","33294","87892","32.3","16","6.9","22.9","29.8","14.7","25.1","9.3","21.1","36.7","3"
"McCracken County"," Kentucky","65346","11.8","5.9","5.8","17","24.9","14.2","16.4","27157","76246","30.5","16.2","11.2","27.4","35.4","23.1","23.5","4.9","13","42.8","3"
"Ouachita Parish"," Louisiana","154475","14.6","6.4","7.3","20.9","23.7","12.3","13.4","32122","92053","34.8","15.2","7.3","22.5","36.4","20.3","23.2","6.7","13.4","35.5","3"
"Androscoggin County"," Maine","107679","11.1","6.4","5.7","18.9","25.4","14.7","16","32938","79159","34.7","13.8","5.7","19.5","31.8","20.3","22.6","9.8","15.5","41.9","3"
"Anne Arundel County"," Maryland","576031","12.1","6.5","5.6","20.8","27","13.3","13.1","50762","127455","23.2","24.5","16.8","41.3","48.1","16.2","20.5","7.1","8","38.2","3"
"Lenawee County"," Michigan","98266","11","6.5","6.6","18.1","24.4","15","16.3","30854","85514","37.4","15.2","6.8","22","29.8","19.2","19.3","10.1","21.6","41.3","3"
"Blue Earth County"," Minnesota","67427","11.8","5.2","8.2","30.2","19.8","10.7","11.7","30121","86907","25.1","22.6","12.3","34.9","38.2","20.9","20.2","5.9","14.8","30.6","3"
"Dakota County"," Minnesota","425423","13.2","6.9","6.5","18.8","26.7","14","12.4","44905","118619","19.9","30.5","12.6","43.1","44.9","14","22.6","6.3","12.3","38.2","3"
"Ramsey County"," Minnesota","550210","13.6","6.1","6.2","23.9","23.6","12.2","12.4","35976","98193","20.3","26.1","16.9","43","43.9","17.3","20.8","5","13","35.1","3"
"DeSoto County"," Mississippi","182001","12.4","8.4","7.4","19.1","28.4","11.7","11.5","34440","86987","29.3","18.5","7.4","25.9","33.3","15.4","22.4","9","20","37.4","3"
"Harrison County"," Mississippi","206650","14.1","6","6.1","20.9","25","12.9","13.6","26422","74724","30","13.7","8.7","22.4","29.1","27.9","21.3","9.4","12.4","36.8","3"
"Hinds County"," Mississippi","237085","12.5","7.5","7.6","22.2","23.6","12.5","12.4","27439","73649","24.2","18.9","11.8","30.7","33.1","19.5","21.7","7.5","18.3","35.1","3"
"Jasper County"," Missouri","120636","12.8","8.3","6.2","21.1","23.8","12.3","13.6","27250","75019","36.6","16.8","6.2","23","31.9","16.4","23.8","7","20.9","35.9","3"
"Jefferson County"," Missouri","224347","11.7","7.3","6","18.2","26.7","15","13.8","36837","91879","32.1","14.5","7.3","21.8","33","18.5","21.5","13.3","13.6","39.7","3"
"St. Charles County"," Missouri","399182","12","7.1","6.4","19.1","26.6","13.9","13.3","42585","114248","24.5","24.6","15.2","39.7","43.7","14.8","23.3","8.4","9.9","38.7","3"
"St. Francois County"," Missouri","66692","9.9","7.3","6.2","19.3","27","13.5","14.7","27020","71193","37.9","7.5","8.3","15.8","28.5","23.9","20.7","9.8","17.1","40.2","3"
"Flathead County"," Montana","102106","11.4","6.9","5.6","16.5","24.6","15.6","18.2","29234","80802","30.6","21","10.1","31.1","33","21.7","23.8","12.9","8.6","41.5","3"
"Grafton County"," New Hampshire","89786","8.7","4.4","8.9","20.2","21.6","15.4","18.3","32154","94156","25.1","22.2","21","43.3","44.7","18.6","18.3","9","9.4","42.7","3"
"Bernalillo County"," New Mexico","678701","10.8","7.2","6.2","21.4","25","13","14.3","30553","84312","23.1","18.9","16.4","35.3","40.7","20","22.9","8.7","7.7","37.8","3"
"Bronx County"," New York","1432132","13.8","7","6.7","23.4","25.1","11.2","11.3","27672","80735","27.7","13.4","7.3","20.7","25","34.1","21.8","6.2","12.9","34.4","3"
"Chautauqua County"," New York","127939","10.6","5.8","6.9","18.2","23","15.6","17","30150","81844","36","12","9.7","21.7","31.5","20.8","17.9","10.1","19.7","42.4","3"
"Chemung County"," New York","84254","12.9","4.7","5.8","17.5","24.3","15.1","17.5","31544","84560","37.2","11.7","8.8","20.5","35.3","22.4","21","6.9","14.4","43.1","3"
"Nassau County"," New York","1358343","11.3","6.2","6.3","18.1","25.9","14.4","14.9","51306","140903","22.9","25.2","21.1","46.3","46.4","16.5","23.3","6.2","7.7","41.7","3"
"Orange County"," New York","381951","13.2","7.7","7.7","19.2","25.6","12.8","12.2","36578","107383","29.1","18","12.5","30.5","35.9","20.6","22","8.9","12.5","36.9","3"
"Brunswick County"," North Carolina","136744","7.8","4.4","5.1","12.9","20.4","17.6","30","30432","86712","27","20.9","11.4","32.3","35","22","22.4","9.9","10.6","54.7","3"
"Buncombe County"," North Carolina","259103","9.9","5.3","5.2","19.2","26.4","14.1","17.1","32546","83484","22.5","25.3","15.8","41.1","40.7","19.5","19.5","7.5","12.9","42.5","3"
"Forsyth County"," North Carolina","379099","11.9","7.1","7.2","19.7","25.1","13.1","14","32524","83587","26.5","20.6","12.4","33","41.5","16","21.4","7.6","13.5","38.5","3"
"Nash County"," North Carolina","94016","11.6","6.8","5.6","17","25.9","14.5","16.5","28818","79457","35.3","15.7","5.8","21.5","34.3","17.1","18.5","11.8","18.3","41.8","3"
"Onslow County"," North Carolina","197683","15.7","6.2","7.7","34.4","18.8","8","8.3","25392","62802","29.7","16.4","7.4","23.8","32.3","22.9","25.2","8.5","11.1","26.5","3"
"Wilkes County"," North Carolina","68557","10.8","5.6","5.5","16.8","24.9","14.9","19.5","26891","72834","28.7","11.7","4.9","16.6","28.9","18.4","22.4","14","16.3","45.4","3"
"Clermont County"," Ohio","205466","13.1","6","6.1","18.2","26.1","14.4","14.5","36532","95678","35.8","17.6","9.7","27.2","35.2","15.9","24.4","10.8","13.7","39.9","3"
"Cuyahoga County"," Ohio","1243857","11","6.1","6","20.5","23.9","14.3","15.6","34492","94945","26.6","19.9","13.9","33.9","41","17.9","22.3","5.7","13.2","40.4","3"
"Delaware County"," Ohio","204826","13.4","8.2","7.4","15.4","29.8","12.3","12.1","49857","142077","17.9","35","19.9","54.8","54.3","11.9","22.1","4.5","7.2","38.7","3"
"Franklin County"," Ohio","1310300","13.3","6.4","6.6","25.1","25.3","11.3","10.6","35463","94657","24.3","25.3","15.3","40.6","43.6","16","21.8","4.8","13.8","34.1","3"
"Hamilton County"," Ohio","816684","12.5","6.6","6.6","21.8","23.8","13.3","13.2","35909","98776","25.7","23.2","15.3","38.5","41.9","16.8","22","5.5","13.8","36.6","3"
"Medina County"," Ohio","179146","11.1","6.9","6.6","16.1","27","14.3","16.3","41898","108699","31.9","23.7","11.8","35.4","41","15.7","22.8","7.9","12.7","41.9","3"
"Montgomery County"," Ohio","532331","12","6.3","6.4","20.2","23.7","13.5","15.4","31609","89318","28.3","17.1","11.9","29","36","17.8","22.6","6.6","16.9","39.2","3"
"Warren County"," Ohio","232173","11.1","8.7","7.2","17.1","28.3","13.3","12.5","43850","120596","24.3","25.3","18.7","44.1","49.9","13.5","19.9","5.4","11.3","39.2","3"
"Canadian County"," Oklahoma","144447","14.3","7.9","6.3","20.6","26.3","11.6","11.2","35721","89088","32.6","19.3","9.3","28.6","32.9","12.6","30.2","9.7","14.6","35.7","4"
"Chester County"," Pennsylvania","522046","12.1","6.5","7","17.7","26.3","14","14.3","49589","133532","20.2","31.8","22.2","54","51.1","13.6","20.2","7.6","7.6","40.6","3"
"Lehigh County"," Pennsylvania","368100","12.1","6.7","6.3","19.9","25.2","12.9","14.1","35672","93578","32.7","18.3","11.8","30.1","35.3","16.1","21.1","7.1","20.4","38.5","3"
"Northumberland County"," Pennsylvania","91083","11.2","4.8","5.3","17.3","24.9","14.9","18.1","31797","81007","49.4","10.7","5.5","16.2","30.1","17.4","22.3","8.5","21.6","44.6","3"
"Greenville County"," South Carolina","514213","12.4","6.7","6.2","20.4","25.8","12.7","14","32892","90958","24.2","23.3","13.1","36.4","38.5","15.6","23.1","8.4","14.4","38.4","3"
"Lexington County"," South Carolina","295032","12.3","7","6.1","18.9","26.5","13.4","14.1","34902","89510","28.1","19.8","10.7","30.6","37","15.7","22.1","11.8","13.4","39","3"
"Pennington County"," South Dakota","111729","11.2","7.1","6.8","19.5","22.7","14.4","15.8","31316","79490","30.7","21.4","11.2","32.6","33.4","24.5","23","8.2","10.9","40.1","3"
"Bradley County"," Tennessee","106727","10.4","7.3","7.1","19.7","25.9","12.8","14.8","30196","74160","31.6","12.1","8.5","20.7","29.7","20.7","20.6","9.7","19.2","40.1","3"
"Greene County"," Tennessee","69087","9","6.3","6.1","16.8","25.9","14.6","19.7","29737","77260","39.1","11.6","6.3","17.9","25.9","17.5","23.3","9.1","24.2","44.5","3"
"Maury County"," Tennessee","94340","12.1","7.6","5.8","19.1","26.1","13.6","14.2","32393","79537","34.7","14.8","7.6","22.4","34.3","16.3","21.1","12.1","16.2","38.6","3"
"Wilson County"," Tennessee","140625","12.9","6.7","6.7","16.1","28.6","13","14.7","37819","102213","30.5","21.2","11.1","32.3","39.1","12.5","26.6","6.6","15.2","40.5","3"
"Bastrop County"," Texas","86976","12.9","7.8","8.5","16.4","25","15.1","13.5","34750","91518","32.4","15.5","5.1","20.5","32.8","16.6","21","15.2","14.3","38.1","4"
"Bowie County"," Texas","94324","12.1","8","5.6","19.9","25.7","12.4","14.7","33631","84147","33.3","15.3","6.1","21.3","29","15.6","27.2","10.2","17.9","37.5","3"
"Brazos County"," Texas","226758","11.7","5.9","10","34.8","20","8.3","8.6","25567","88656","18.7","23.3","21.3","44.6","49.7","14.3","18","8.3","9.7","26.9","3"
"El Paso County"," Texas","840758","14.4","8.1","7.7","23.2","23.9","10.4","10.8","24647","69715","23","15.5","8.1","23.6","30.5","22.2","25.6","9.8","11.8","32.5","4"
"Harrison County"," Texas","66726","12.5","7.3","9","17.5","23.8","13.7","14.6","26251","73324","35.7","14.2","5.8","20","30.1","18","20.8","15.1","16","37.9","4"
"Hays County"," Texas","222631","12.5","6.4","8","27.4","24.5","10","10.3","31654","91511","25.6","25.9","12.7","38.6","39.9","17.8","22.6","9.1","10.5","32","3"
"Nueces County"," Texas","362265","13.4","7","7.5","21.1","24.3","12.2","13","32533","83121","28.7","14.3","7.7","22","31.8","20.6","20.1","14.9","12.7","35.7","3"
"Washington County"," Utah","171700","13.9","7.6","7.1","17.8","21.1","10.7","19","29496","82836","22.1","19.2","11.9","31.1","37","16.9","25.9","8.3","11.9","38.2","3"
"Albemarle County"," Virginia","108718","10.7","5.9","8.3","21","22.4","12.5","16.6","35806","104089","15.4","28.7","28.3","56.9","51.6","18.6","18.6","6.3","4.9","38.6","3"
"Chesterfield County"," Virginia","348556","12.6","6.9","7","18.3","27.3","13.2","13.7","41144","105129","22.7","26.3","15.8","42.2","43.7","13.9","23","8.3","11","39","3"
"Fairfax County"," Virginia","1150795","12.8","6.6","6.3","19.4","28.8","12.7","12.1","55661","157943","13.2","30.8","31.1","61.9","58","14.7","16.8","4.9","5.6","38","3"
"Lynchburg city"," Virginia","82126","12.3","5.1","8.7","32.7","16.5","10.2","12.4","20137","72335","25.3","20.2","17.7","37.9","46.4","20.3","18.4","4.3","10.6","28.4","3"
"Benton County"," Washington","201877","14.6","7.5","7.2","19.4","24.2","12.1","13.1","34471","103992","26.5","17.8","12.2","30","39.8","16.5","18.7","12.9","12","35.8","3"
"Spokane County"," Washington","514631","12","6.5","6.5","21.5","24.3","13","14.5","32220","92833","22.4","20.1","11.2","31.3","38","19.3","23.5","7.9","11.4","37.8","3"
"Whatcom County"," Washington","225685","10.9","5.8","6.9","23.5","22.9","12.5","15.4","32347","96498","23.6","21.1","12.8","33.9","34","20.3","20","10.8","14.9","37.2","3"
"Portage County"," Wisconsin","70942","10.1","6","8","22.8","22.9","13.6","14.4","30354","88563","33.2","22.6","9.4","32","31.2","18.8","21.7","8.5","19.8","37.1","3"
"Washington County"," Wisconsin","135693","11.6","6.4","6.2","15.8","26.7","15.3","16.2","45097","110971","31.9","21.8","12.2","33.9","37.2","13.3","22","9.1","18.4","43.3","3"
"Calhoun County"," Alabama","114277","12.5","5.2","6.5","20.7","22.9","14.2","16.4","26259","81584","32.5","10","8","18","25.1","17.6","22.9","12","22.3","40.1","3"
"Etowah County"," Alabama","102501","12.5","5.5","5.4","18.9","25","13.5","17","27941","72508","33.2","12.2","7.7","19.9","30.4","19","19.5","9.2","22","41.3","3"
"Lee County"," Alabama","163941","10.1","8","8.6","26.9","23.5","10.7","11","27604","84986","22.7","20.2","14.1","34.3","41.4","15.5","18.5","9.4","15.2","32.1","3"
"Anchorage Municipality"," Alaska","291538","14.2","6.5","6.4","23.8","26","11.9","10.2","41701","111670","23.3","22.9","14.7","37.5","41.4","18","22","7.9","10.6","34.3","3"
"Fairbanks North Star Borough"," Alaska","98971","14","6.5","7","27.1","24.4","10.6","9.4","39967","107906","25.2","16.7","12.3","29","32","18.2","22.6","12.7","14.5","31.7","3"
"Lonoke County"," Arkansas","73657","11.9","9.2","6.6","18.7","28.3","11.9","11.9","36740","86088","37.4","11.1","5.1","16.2","37.4","13.9","22.9","10.5","15.2","36.8","3"
"Alameda County"," California","1666753","11.3","6","5.6","22.7","28.4","12.2","12.2","52049","141390","18.1","27.5","20.8","48.3","51.4","14.8","17.6","6.1","10.2","37.6","3"
"Lake County"," California","64382","12.1","5.3","4.7","16.4","22.8","15.8","21.3","31813","78052","27.6","11.3","7.1","18.4","-999999999","-999999999","-999999999","-999999999","-999999999","44","3"
"San Francisco County"," California","883305","7.9","3.6","3.7","28.8","28.8","11.5","13.1","65393","180936","12.2","36.1","23.7","59.8","59.2","14.5","17.5","2.7","6.1","38.3","3"
"Sonoma County"," California","499942","10.4","5.7","6.1","18.1","25.5","14.6","17.2","35799","111870","18.2","22","14.2","36.1","37.3","19.9","21.9","10.5","10.4","42.4","3"
"Yolo County"," California","220408","11.5","5.9","10.1","27.4","22.3","10.3","10.8","31653","107568","18.3","20.7","21.3","42","45.4","19.8","14.5","8.8","11.5","31.1","3"
"Arapahoe County"," Colorado","651215","13.1","6.3","6.2","21.8","27.4","12.2","11.6","40111","103925","21.8","27","15.7","42.7","42","16","23.2","8.6","10.3","36.9","3"
"Denver County"," Colorado","716492","11.6","5.2","4.8","29.3","27.6","9.9","10.4","42409","108054","15.2","31.2","20.1","51.3","49.5","14.9","19.6","7.6","8.5","34.6","3"
"Weld County"," Colorado","314305","14.6","7.5","7.2","21.3","25.7","11.5","10.9","36887","102351","28.2","19","8.4","27.4","34.2","16.8","22.2","12.7","14.2","34.6","3"
"Tolland County"," Connecticut","150921","8.5","5.5","9.7","23.7","22.9","13.6","14","43759","134609","27.3","24.1","20.4","44.5","50.1","15.1","17.5","8.7","8.7","36.7","3"
"Sussex County"," Delaware","229286","9.4","6","4.5","14.6","21.3","16.4","25.4","30632","83653","33.8","15.8","12","27.8","31.7","22.1","22.6","11.9","11.8","50.6","3"
"District of Columbia"," District of Columbia","702455","11.2","4.8","5.3","30.8","25.8","9.9","10.7","57851","152178","16.6","25.9","34.5","60.4","64.7","14.4","14.7","2.5","3.6","33.9","3"
"Citrus County"," Florida","147929","7.9","4.2","4.4","11.9","18.6","16.6","31.8","26393","69444","38.2","12","6.3","18.3","31.6","21.6","24","8.3","14.5","57.2","3"
"St. Johns County"," Florida","254261","10.4","7.3","7.6","12.9","27.3","14.3","18.5","37707","119045","21.3","27.7","16.8","44.5","43.8","15.8","26.3","6.6","7.5","44.3","3"
"Bulloch County"," Georgia","77296","9.7","7.3","13.4","27.5","21","10","9.8","22346","76321","25.6","15.4","12.8","28.2","29.5","17.5","24.7","12.7","15.6","28.1","3"
"Carroll County"," Georgia","118121","12.4","7.2","8.6","21.9","24.6","11.1","13.2","30376","79501","33.2","13.8","6","19.7","31.1","13","22.4","12","21.6","34.9","3"
"Cobb County"," Georgia","756865","12.5","6.9","6.7","21","28.4","12.2","11.1","41814","112869","18.6","31","18","49.1","47.1","14.6","22","6.4","10","36.7","3"
"Floyd County"," Georgia","97927","11.8","7.2","7.4","20.4","24","12.3","15","28362","69238","36.8","10","7","16.9","29.9","18.9","22.4","8.3","20.5","38.4","3"
"Hall County"," Georgia","202148","13.3","7.5","7.8","19.4","25.1","12.1","13.3","31865","75100","28.2","15.5","8.7","24.2","31.6","13.5","19.3","13.5","22.1","36.8","4"
"Newton County"," Georgia","109541","13.7","7.6","9.4","16.1","28.6","11.5","12","31376","89698","34.4","14.6","8.5","23.1","32.4","20.2","19.2","11.3","16.9","36.8","3"
"Twin Falls County"," Idaho","86081","13.3","8.8","7.9","19.4","23.5","12","13.6","30827","80623","26.2","11.6","8.9","20.5","29.3","14.4","20.1","15.8","20.4","35.3","3"
"Cook County"," Illinois","5180493","11.9","6.2","6","22.8","26","12.3","12.6","39986","106353","23.5","23","16.3","39.3","41.3","17.8","21.6","5.7","13.6","37","3"
"Macon County"," Illinois","104712","11.4","6.9","6.6","17.6","23.1","14.1","17.9","31335","87617","34.8","14","7.3","21.3","33.3","19.8","20.3","8.2","18.3","40.9","3"
"Peoria County"," Illinois","180621","12.8","6.9","6.5","19.9","24.1","13.1","14.2","32008","90661","27.5","19.4","11.5","30.9","38.2","20.4","21.5","6.5","13.4","38","3"
"Hancock County"," Indiana","76351","12.1","7.3","5.2","18.2","26.8","13.4","15.4","41746","100981","33.4","21.9","9.5","31.4","36.2","14.2","23","13.7","12.9","38.8","3"
"Howard County"," Indiana","82366","12.8","6.2","5.6","17.9","24.5","13.8","16.4","32104","93304","35.2","14.8","7.7","22.5","32.5","19","19.2","7.9","21.3","42.1","3"
"Kosciusko County"," Indiana","79344","11.9","7.8","6.2","19.1","25.2","13.3","14.5","31401","80866","35.3","13.1","8.7","21.8","24.8","12.9","18.3","9.3","34.7","38.5","3"
"Vanderburgh County"," Indiana","180974","12","6.4","6.2","20.9","23.9","13.9","14.1","31354","83747","33.7","17.4","8.2","25.6","33.4","19.9","21.6","6.6","18.5","38.6","3"
"Vigo County"," Indiana","107386","10.4","6.3","7.3","24.9","22.7","12.5","14","27673","82954","33.2","14.8","10.7","25.5","35.5","19.6","19.5","5.2","20.2","36.3","3"
"Campbell County"," Kentucky","93152","12.2","4.8","6.9","22.1","23.9","14.1","13.9","37376","104173","27.5","22.5","14","36.4","47.4","11.7","22.9","5.7","12.2","38.5","3"
"Christian County"," Kentucky","71671","17.5","6.3","6.3","30.3","18.3","8.9","10.7","29243","65721","30.6","12.1","7.6","19.7","33.2","17.9","17.6","7.6","23.7","28.2","3"
"Calcasieu Parish"," Louisiana","203112","14.4","6.5","6.2","20.9","24","13","13.3","31497","85813","32.9","14.9","7","22","28.2","21.6","22.1","15.9","12.1","36.2","3"
"East Baton Rouge Parish"," Louisiana","440956","13","5.9","7.1","25","22.8","11.9","12.7","31186","87213","27","21.7","13.5","35.2","39.5","19","22","8.4","11","34.2","4"
"St. Landry Parish"," Louisiana","82764","14.1","8.4","7.4","18.2","22.7","13.2","14.2","26665","76129","41.6","8.7","5.1","13.8","26.2","16.4","26.4","14.1","16.9","37","3"
"Tangipahoa Parish"," Louisiana","133777","13.4","7.5","6.9","21","24.8","12.2","13.3","28300","93143","38.5","13.4","5.7","19.1","33.4","22.9","17.6","12.2","13.9","36.3","4"
"Carroll County"," Maryland","168429","10.6","6.6","7.5","17.2","26.2","15.5","14.3","46884","123792","30.4","23","14.1","37.1","45","14.4","21.6","9.8","9.2","42.1","3"
"Wicomico County"," Maryland","103195","11.8","6.6","8","23","22.3","12.5","14.1","28355","86268","28.8","14.3","9.1","23.4","31.6","24.4","23.9","8.6","11.6","35.5","3"
"Berkshire County"," Massachusetts","126348","8.7","4.8","6.3","17.5","23.3","16.3","20.2","34814","101270","30.1","20.3","14.4","34.7","41.9","21.7","18.5","7.3","10.6","47.3","3"
"Franklin County"," Massachusetts","70963","9.9","4.8","4.9","16.7","24.4","17.6","18.6","37542","100119","25.3","22.7","16.8","39.5","43.8","15.2","18.1","10.4","12.6","46.7","3"
"Hampden County"," Massachusetts","470406","11.3","6.2","7.1","20.5","24.4","13.7","14.2","35745","99674","29.1","17.4","10.4","27.8","36.9","21.2","19.8","7","15.2","39.1","3"
"Plymouth County"," Massachusetts","518132","11.4","5.8","6.6","17.2","25.9","15","16","45513","128169","26.3","24.5","15.2","39.7","43.3","17.7","20.2","8.8","9.9","43","3"
"Worcester County"," Massachusetts","830839","11","6.2","6.7","19.9","26.3","14.2","13.7","40889","115481","27.2","22.9","14.8","37.6","43.2","17.9","20.5","6.9","11.5","40","3"
"Ingham County"," Michigan","292735","11","5.4","9.7","26.9","21.9","11.2","11.6","26045","93826","21.6","21.5","16.5","38","39","20.3","23.3","5.5","11.9","32.1","3"
"Shiawassee County"," Michigan","68192","11.6","5.3","6.8","17.2","25.4","15.2","16.4","31595","85651","32.4","11.4","6.9","18.4","30.3","16","22.2","13","18.6","42.7","3"
"Scott County"," Minnesota","147381","14.7","8.1","7","17.5","29.8","11.8","9.7","46283","123238","21.9","27.9","11.6","39.5","42.4","15.9","22","7.3","12.4","37","3"
"Christian County"," Missouri","86983","14.5","7.3","6.8","17.8","25.7","12.6","13.3","29233","81099","27.7","16.4","12.3","28.7","37.3","16.8","23.1","7.5","15.4","38.2","3"
"Clay County"," Missouri","246365","12.6","7.4","6.5","20.3","26.7","12.4","12.8","39569","98170","26.7","22.2","11.3","33.5","40.2","14.9","22.3","8","14.6","37.3","3"
"Lewis and Clark County"," Montana","68700","10.9","7.4","6.1","17.6","24.6","15","15.8","34016","95934","21.4","22.5","16.8","39.3","44.2","20","20.2","7.5","8.1","40.8","3"
"Missoula County"," Montana","118791","9.9","5.5","6.7","26","24.1","12.3","14.1","27004","89404","20.3","23.8","15.9","39.7","36.3","22.5","23.6","8.7","8.9","36.3","3"
"Yellowstone County"," Montana","160137","12.4","7.4","5.8","19.6","24.2","13.5","14.5","33342","87441","29","24","9.2","33.2","35.3","17.6","22.8","11.2","13","37.9","3"
"Hunterdon County"," New Jersey","124714","9.5","5.6","6.8","15.1","27.3","17","16.3","55697","156573","20.7","31.7","20.9","52.6","51.8","13.7","19.9","8.9","5.6","46.6","3"
"Lea County"," New Mexico","69611","14.3","10.5","9.1","20.8","23.6","10.5","10","32455","85101","31.3","6.4","5.2","11.6","-999999999","-999999999","-999999999","-999999999","-999999999","32.2","3"
"Jefferson County"," New York","111755","15","5.7","5.8","26.4","22.3","11","12.3","32637","81717","33.5","13.5","9.2","22.7","34","22.5","21.6","9.9","11.9","33","3"
"Niagara County"," New York","210433","10","6.3","6","18.1","24.6","16.1","16.1","36165","94789","32.2","13.7","11.4","25.1","35.4","18","23.7","8.3","14.6","43.7","3"
"Putnam County"," New York","98892","9.8","5.5","6.8","17.9","26.9","15.8","15.7","45321","140867","25.5","22.8","18.2","41","43.1","18.1","21.6","7.9","9.3","43.7","3"
"Rockland County"," New York","325695","15.6","7.9","7.3","18","23.4","12.1","13.3","41656","128046","23.5","23.2","19.3","42.5","45.9","18.6","21.5","5.8","8.1","35.9","4"
"Sullivan County"," New York","75498","11.1","6.3","7","16.1","25.9","14.8","17.3","32620","93132","35.4","12.8","9.2","22","36.5","26","13.9","11.9","11.7","42.7","3"
"Chatham County"," North Carolina","73139","10.4","6.6","4.8","14.4","24.8","14.5","20.6","36178","95697","21.2","24","21.1","45.1","45.2","18.8","14.2","9.6","12.2","46.9","3"
"Craven County"," North Carolina","102912","13.7","5.7","5","22.2","22","12.4","17.4","28408","71156","28.9","15.9","9.5","25.4","34.7","16.9","20.7","14.7","13","38.4","3"
"Harnett County"," North Carolina","134214","14.8","7.2","6.7","21.4","26.3","10.9","11.7","30643","81503","30.2","14.3","7.1","21.4","33","19.4","18.8","13.4","15.5","34.9","3"
"Randolph County"," North Carolina","143351","11.5","6.9","6","17.6","25.9","14.3","15.9","29557","78351","33.5","12.3","4.2","16.5","27.1","16.3","21.1","10.5","25","40.7","3"
"Wilson County"," North Carolina","81455","12.7","6.4","8.2","16.4","24.1","14","16.3","25327","73427","28.3","14.7","7.7","22.4","30.6","17.2","21.2","8.4","22.7","40.7","3"
